"Subj","Gender","Age","SES","Siblings","Numeracy","SOEP","SOEPdrive","SOEPfinance","SOEPhealth","SOEPoccup","SOEPrecreat","SOEPsocial","WMC","BartPumps","HoltRisk","LottRisk","LottEV","Concentration","Tiredness","Motivation","Happy","Angry","Sad","Afraid","SOEPMeans","Positive","Negative","RiskPreferences","AngryRecoded","SadRecoded","AfraidRecoded","Affect","LottRiskZScore","LottEVZScore","BartPumpsZScore"
68018101,2,23,2,2,1,3,8,5,3,2,3,2,0.698988095238095,36.43,4,0.38,0.72,59,64,87,63,60,42,38,3.83333333333333,75,46.6666666666667,-0.457833627182652,40,58,62,55.75,-1.19593533771848,-0.171956820852695,-0.00560872297677621
68039301,2,22,1,1,1,8,8,7,11,9,5,1,0.30000992063492,23.76,6,0.46,0.82,54,45,41,80,20,21,90,6.83333333333333,60.5,43.6666666666667,-0.148148789124657,80,79,10,62.25,-0.0157359912857694,0.762591118564122,-1.19130149465232
64110701,1,27,4,2,3,8,8,7,8,8,8,10,0.439464285714286,58.57,6,0.48,0.64,69,60,79,74,31,31,20,8.16666666666667,76.5,27.3333333333333,0.475343620912478,69,69,80,73,0.279313845322408,-0.919595172386149,2.06631218980118
68048401,1,24,6,2,0,8,4,5,2,2,6,1,0.659027777777778,41.6,4,0.38,0.56,70,50,90,90,20,0,10,3.33333333333333,90,10,-0.794985013615041,80,100,90,90,-1.19593533771848,-1.6672335239196,0.478213820792962
68033301,1,22,5,1,2,7,1,4,1,7,8,3,0.810059523809523,41.9,2,0.44,0.72,29,72,41,75,23,24,62,4,58,36.3333333333333,0.00784866038751707,77,76,38,66.5,-0.310785827893948,-0.171956820852695,0.506288629909195
68012101,2,25,4,3,4,4,1,6,1,2,3,1,0.834940476190476,51.63,4,0.46,0.7,90,20,100,74,40,20,9,2.33333333333333,87,23,0.347415290741279,60,80,91,76.25,-0.0157359912857694,-0.358866408736059,1.41684827224567
64136801,1,26,3,1,0,7,1,1,3,4,8,6,0.676140873015873,30.5,5,0.3,0.6,69,31,79,79,11,10,30,3.83333333333333,79,17,-1.41003438293724,89,90,70,82,-2.3761346841512,-1.29341434815288,-0.560554116507637
64127201,1,27,5,1,4,7,3,3,4,6,8,8,0.872817460317461,48.07,3,0.42,0.68,52,59,47,70,24,0,21,5.33333333333333,58.5,15,-0.0226392634628357,76,100,79,81.25,-0.605835664502127,-0.545775996619422,1.08369387073304
64171601,1,35,3,3,1,5,2,2,2,5,6,3,0.491279761904762,44.1,3,0.44,0.74,66,22,80,61,35,33,11,3.33333333333333,70.5,26.3333333333333,0.138779167521651,65,67,89,70.5,-0.310785827893948,0.0149527670306685,0.712170563428232
68007501,2,21,3,1,3,7,4,6,6,8,8,7,0.670525793650793,47.33,2,0.44,0.76,70,60,60,70,21,69,20,6.5,65,36.6666666666667,0.301839733977695,79,31,80,65,-0.310785827893948,0.201862354914032,1.014442674913
64129701,1,24,4,1,3,3,3,2,3,2,4,4,0.602123015873016,23.57,3,0.48,0.82,79,10,90,90,9,0,0,3,90,3,-0.0557257477353582,91,100,100,95.25,0.279313845322408,0.762591118564122,-1.20908220709261
68002001,1,21,4,4,2,6,5,5,7,7,8,8,0.800535714285714,40.33,4,0.44,0.64,89,17,93,90,41,40,69,6.66666666666667,91.5,50,-0.290339068248617,59,60,31,60,-0.310785827893948,-0.919595172386149,0.359363795534245
